uid,created_date,survival_time,country,have_services,log_score,label
376,2022-02-20,321.0,US,0,-199833.49873295912,scam
377,2021-10-10,454.0,CA,1,-199833.49873295912,scam
378,2022-05-16,236.0,MD,0,-20.90138771133189,scam
379,2022-07-18,184.0,US,0,-16921.43165549624,scam
380,2022-10-05,101.0,NL,0,-147.4164810615439,scam
381,2022-11-05,63.0,DE,0,-12.208240530771944,scam
382,2022-05-30,233.0,US,1,-2654.92055845832,scam
383,2014-06-19,3135.0,CN,0,-761.2864279332957,scam
384,2022-10-24,75.0,US,0,-18489.60555084533,scam
385,2022-01-19,360.0,US,0,-179.00426772644602,scam
386,2022-09-29,111.0,RU,0,-25.59880261833785,scam
387,2020-02-10,1069.0,-,0,-199833.49873295912,scam
388,2022-10-31,68.0,US,1,-100652.65205617686,scam
389,2022-10-23,76.0,US,0,-613.5988026183378,scam
390,2022-09-21,108.0,CN,0,-261.6721238312104,scam
391,2021-05-27,590.0,US,0,-7690.109628242104,scam
392,2022-08-08,163.0,US,0,-100652.65205617686,scam
393,2022-08-20,151.0,NL,0,-3.3905620875658995,scam
394,2022-10-16,90.0,US,0,-3753.386615781621,scam
395,2022-09-26,110.0,NL,0,-28.69741490700596,scam
396,2021-10-19,456.0,CA,0,-8736.17105438239,scam
397,2022-10-08,98.0,SG,0,-1785.1978816246228,scam
398,2022-11-22,57.0,GB,0,-16921.43165549624,scam
399,2022-06-30,202.0,AU,0,-187.2638015516055,scam
400,2022-07-18,180.0,CA,1,-199833.49873295912,scam
401,2022-06-20,212.0,-,1,-199833.49873295912,scam
402,2022-07-29,162.0,-,0,-199833.49873295912,scam
403,2022-07-20,182.0,CN,0,-257.7373098110951,scam
404,2021-10-29,446.0,SG,1,-34411.32324619773,scam
405,2020-01-15,1099.0,MY,1,-40.435050642538464,scam
406,2022-04-04,278.0,US,0,-100652.65205617686,scam
407,2022-05-10,249.0,HK,0,-4270.212508257218,scam
408,2022-12-14,35.0,GB,0,-827.3609426703847,scam
